year	locale	beforeMonth	month	beforeDay	day	hour	ymdt	duration	unknown	longitude	latitude	elevation	relativeAltitude	continentCode	countryCode	area	locationFlags	miscellaneousFlags	typeOfUfoCraftFlags	aliensMonstersFlags	apparentUfoOccupantActivitiesFlags	placesVisitedAndThingsAffectedFlags	evidenceAndSpecialEffectsFlags	miscellaneousDetailsFlags	description	location	title	ref	refIndex	strangeness	credibility
1458	3	0	3	0	17	0	249	15	0	-139.66666666652702	35.8444444444086	-99	999	6	1	HNS	67	64	8	128	0	0	64	0	"CIRCLE THE MOON
CHANGE COLORS 3 TIMES..VANISH."	JAPAN/LOC UNK	5 'STARS' APPEAR	33	6	5	5
1461	2	0	11	0	1	0	253	15	0	-2.7666666666639004	50.299999999949705	-99	999	3	5	PDC	67	0	2	128	0	0	64	0	"SUDDENLY SPIRALS+TWISTS UPWARD+GONE!
/IFS#23"	ARRAS,FRANCE	FIERY ROD HVRS/15min	2	11	6	4
1468	8	0	3	0	8	0	248	1	0	-139.63333333319372	35.7999999999642	-99	999	6	1	HNS	67	0	1	128	0	0	0	16	"FLIES >>W from MOUNTAIN
NFD"	Mt.KASUGA,JAPAN	DARK OBJ MAKES 'WHEEL-LIKE SOUND'	33	7	4	6
1491	0	0	8	0	13	120	255	180	0	-9.1999999999908	45.4666666666212	122	999	3	9	MI.	67	97	128	1	0	0	96	0	"7 OIDS
"LIVE 300 YRS..CANT SAY MUCH/SPECIAL LAWS..""	MILANO,ITL	FAZIO CARDANO	98	178	9	4
1520	2	0	1	0	0	0	213	15	0	-11.066666666655602	50.97777777772681	-99	999	3	3	THR	67	0	33	128	3	6	96	0	"ROTATING BEAM SCORCHES GND
+2 FIERY SPHERES
/r8 p??"	ERFURT,PRUSSIA	ROUND GLOW	107	178	6	4
1535	0	0	4	0	20	0	253	5	0	-17.999999999982	59.3444444443851	-99	999	3	2	SWD	195	192	1	128	0	0	64	0	"'7 SUNS' CIRCLE CITY
SAME OVR WEIMAR,GERMANY/SAME DATE"	STOCKHOLM,SWD	MANY OBS	186	24	6	11
1551	0	0	1	0	3	0	253	10	0	9.0666666666576	38.6777777777391	-99	999	3	7	EST	231	64	35	128	0	0	96	0	'RAIN OF BLOOD'(?)	LISBON,PORTUGAL	FLYING RED CYLs+FBLS TERRIFY POPULATION	186	24	6	6
1554	2	0	6	0	10	108	255	120	0	-5.0999999999949	43.644444444400804	-99	999	3	5	BDR	195	0	2	128	0	0	64	0	"FLAMES ALL OVR
SEEN/2hrs"	SALON-de-PROVENCE+St CHALMAS,FR	'LANCE' WOBBLES E>>W	186	24	6	8
1557	2	0	12	0	5	42	255	20	0	-9.0888888888798	48.5444444443959	-99	999	3	3	BDW	67	128	3	64	0	0	0	128	"OIDS TOO?
/SOBEPS IFS#24"	nr TUBINGEN,GERM	MANY LRG CLRD 'HATS' EXIT ODD CLOUDS	4	13	7	4
1561	2	0	4	0	14	36	255	15	0	-11.1222222222111	49.444444444395	-99	999	3	3	BVR	195	128	3	128	0	0	96	0	"GONE in FLAMES
'common event'/r2p12"	NUREMBURG,GERM	SPHERES+DISKS EXIT CYL/SKY	194	186	7	4
1566	2	0	8	0	7	36	255	30	0	-7.5888888888813	47.4999999999525	-99	999	3	10	BSL	67	0	3	128	0	0	96	0	"AERIAL COMBAT?
/IFS#24+/r221p14"	BASEL,SWZ	LRG TILTED CYL+MANY BLACK DISKS	2	12	7	4
1606	2	0	5	0	1	0	249	15	0	-135.7666666665309	34.999999999965	-99	999	6	1	HNS	195	0	41	128	0	0	64	0	"MANY FBLS
FLAMING WHEEL SPINS nr NIJO CASTLE
/SOBEPS IFS#24"	KYOTO,JAPAN	MAY	4	12	3	8
1614	2	0	5	1	10	108	255	60	0	-0.666666666666	52.24444444439221	61	999	3	1	ENG	195	0	1	128	0	0	0	0	"3 'SUNS' HVR/1hr
back again 18MAR1639
NFD"	WESTLEY,ENGLAND	CHURCH RECORDS	195	143	6	8
1621	0	0	9	0	12	132	255	120	0	-2.3222222222199	48.8111111110623	-99	999	3	5	PRS	195	0	3	128	1	0	64	0	"CONTRAILS+WHT 'CROWNS' MOVE in GROUPS
/r186#24"	PARIS+St DENIS,FR	SEP.OBS	194	125	6	10
1646	3	0	5	0	21	0	253	90	0	-0.555555555555	52.36666666661431	-99	999	3	1	ENG	195	64	6	128	0	0	64	0	"RISES
CHANGES SHAPE+GONE"	NEWMARKET><THETFORD,ENGL	VERTICAL CLOUD-CGR GOES	186	25	6	8
1660	0	0	3	0	14	120	255	10	0	0.1333333333332	51.49999999994851	-99	999	3	1	ENG	67	12	1	128	3	80	32	128	undefined	LONDON	BRITE WHT CLOUD 'DROPS FIRE'/WESTMINSTER HALL+PARLIAMENT.	231	77	4	5
1672	13	0	2	0	8	78	255	33	0	1.7444444444427	49.833333333283505	0	999	3	5	MNC	173	64	3	128	0	0	64	0	"NO SAILS
>>S
/r186#25"	off CHERBOURG,FR	DARK 'FLYING SHIP' HVRS STILL/WIND	194	186	6	8
1685	17	1	12	0	10	135	255	2	0	0	89.99999999991	-99	999	11	2	PLT	66	65	128	128	2	0	64	0	REDDISH RAY/LITE CROSSES CRATER PLATO DURING ECLIPSE	MOON	ASTRONOMER BIANCHINI	223	51	6	7
1686	2	0	7	0	9	9	255	8	0	-12.399999999987601	51.333333333282006	-99	999	3	3	SXN	195	65	40	128	0	0	0	0	"MOONSIZE FBL HVRS/8min
ALT=50km
SAME/22MAR1680"	LEIPZIG,GER	ASTRONOMER KIRCH++	2	144	5	9
1692	0	0	5	0	6	72	253	2	0	-139.7666666665269	35.6777777777421	-99	999	6	1	HNS	199	0	13	128	0	0	0	0	"type unk
6 WHEELS+2 FLYING BARNS in WALES/1694"	EDO=TOKYO,JAPAN	3 OBJs/FORMn	186	25	6	8
1707	3	0	12	0	18	120	255	10	0	1.999999999998	51.999999999948	60	999	3	1	ENG	227	128	10	128	0	0	0	0	"LO/HRZN
/Rev.John Morton"	SVRL cos/S.ENGL	HUGE CYL+ODD CLOUD+NLTS MOVE TOGETHER	232	77	6	10
1716	14	0	3	0	1	126	255	132	0	9.99999999999	45.5999999999544	3	999	2	3	NAT	163	0	3	128	3	32	0	0	"GLOWING CLOUD DIVIDED/BEAMS OF LITE
SEEN/15hrs+VANISHES"	OFF NW SPAIN	BRIT.SHIP	186	24	6	9
1716	0	0	3	0	6	114	255	120	0	0.0999999999999	51.49999999994851	-99	999	3	1	ENG	67	65	32	128	0	0	64	0	"UFO/2hrs
'BRIGHT ENOUGH TO READ'
TYPE UNK"	LONDON	ASTRONOMER EDMOND HALLEY	2	12	4	10
1726	2	0	10	0	19	117	255	90	0	-3.7777777777740003	50.62222222217161	-99	999	3	4	BLG	67	192	43	128	0	0	0	0	"FBLS+LITE CIRCLES
SAME/VILVOORDE LATER"	ATH,BELGIUM	LRG GLOWING CLOUDS COLLIDE	186	26	6	8
1731	0	0	12	0	9	0	253	1	0	-11.255555555544301	43.777777777734	50	999	3	9	FI.	195	68	3	128	0	0	0	0	/CHARLES FORT/NEWS	FIRENZE,ITALY	'LUMINOUS CLOUD' >> OVHD AT HIGH VELOCITY	171	0	6	8
